year,pitcher_id,pitch_type,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2022,669203,FC,-1.2,-21,464,0.213,0.335,0.292,27.8,24.6,24.1,0.246,0.376,0.312,38.4
2022,607074,FF,-1.2,-22,443,0.213,0.358,0.29,27.9,30.5,24.1,0.206,0.347,0.278,44.8
2022,669302,FF,-0.7,-12,418,0.259,0.439,0.337,23.7,22.5,20.5,0.262,0.444,0.339,50.5
2022,663474,FF,-1.1,-17,406,0.203,0.358,0.29,19.6,18.2,17.2,0.241,0.451,0.337,46.9
2022,543037,FF,-0.5,-8,399,0.221,0.42,0.313,28.9,33.8,24.8,0.216,0.398,0.3,47.6
2022,664285,SIFT,-0.3,-4,394,0.293,0.409,0.359,12.1,7.1,12.3,0.295,0.439,0.358,47.1
2022,640455,SIFT,0.3,5,391,0.239,0.427,0.324,23,22.8,20.6,0.239,0.416,0.321,44.7
2022,601713,FF,-0.6,-9,384,0.236,0.442,0.341,21.1,21.6,19.8,0.249,0.466,0.357,48.8
2022,664299,FF,-1.2,-18,370,0.183,0.326,0.282,27.3,28.9,20.2,0.181,0.317,0.274,39.2
2022,675911,FF,-1.3,-20,357,0.201,0.295,0.262,27.7,33.6,24.4,0.207,0.336,0.281,41.8
2022,571578,SIFT,0.8,9,357,0.309,0.474,0.382,11.7,15.1,16.3,0.315,0.543,0.397,49.8
2022,615698,SIFT,-0.2,-3,356,0.292,0.426,0.345,13.5,12.6,12.7,0.275,0.433,0.342,34.1
2022,657746,FF,-1.4,-21,354,0.174,0.3,0.268,25.8,27.1,20.7,0.201,0.378,0.302,40.9
2022,656302,SL,-2.7,-36,349,0.128,0.209,0.193,43.3,37.5,27.8,0.144,0.223,0.202,22
2022,664353,FF,-0.6,-8,347,0.243,0.482,0.334,18.8,17,14.8,0.275,0.526,0.372,51.2
2022,592332,FF,-0.2,-2,342,0.333,0.483,0.371,16.3,18.4,17.7,0.296,0.511,0.359,50.4
2022,628711,FF,-1.2,-16,336,0.195,0.363,0.294,22.9,22.6,22.2,0.206,0.36,0.285,38
2022,663903,SIFT,-0.3,-4,330,0.255,0.387,0.318,13.9,20.9,22.1,0.244,0.391,0.309,39.7
2022,592662,FF,-0.8,-9,327,0.224,0.397,0.312,25.9,26.6,24.1,0.209,0.364,0.29,37
2022,608337,FF,0,0,320,0.283,0.449,0.359,21.3,21.6,18.9,0.254,0.422,0.337,43.1
2022,434378,FF,-1.8,-24,317,0.194,0.285,0.249,18.1,15.8,15,0.234,0.394,0.3,40.3
2022,527048,SIFT,-0.9,-9,314,0.249,0.342,0.315,12.6,18.5,22.7,0.244,0.361,0.317,40.7
2022,668678,FF,-1.2,-17,310,0.165,0.301,0.262,19.7,28.4,20.5,0.2,0.356,0.296,41.9
2022,641540,SIFT,0.1,1,307,0.298,0.45,0.382,13.1,14.3,20.4,0.274,0.432,0.358,44.1
2022,592332,FS,-1.4,-14,303,0.195,0.293,0.241,44.1,42.2,25,0.173,0.228,0.2,22.4
2022,518516,FC,0.6,6,292,0.306,0.513,0.38,16.5,17.5,15.9,0.3,0.515,0.374,43.4
2022,594835,CH,0.3,2,292,0.263,0.442,0.324,24.5,16.8,14.6,0.235,0.359,0.276,30.7
2022,656629,FF,-0.5,-6,292,0.189,0.337,0.303,25.6,23.6,21,0.205,0.36,0.316,45.2
2022,502171,SIFT,-0.5,-5,290,0.273,0.375,0.337,13.4,27.9,24.5,0.232,0.33,0.299,49.4
2022,641154,FF,-0.2,-2,289,0.254,0.423,0.324,23.2,26.3,22.2,0.247,0.395,0.315,33.2
2022,657277,CH,-1.2,-12,289,0.204,0.286,0.256,26.6,23.9,19.9,0.238,0.33,0.277,42.3
2022,677651,FF,0.3,3,289,0.281,0.519,0.38,18.2,18,20.6,0.267,0.495,0.362,45.9
2022,664141,SIFT,-0.4,-4,288,0.283,0.434,0.369,14.7,16.3,18.7,0.273,0.427,0.352,44.9
2022,605483,FF,-0.5,-6,287,0.255,0.407,0.347,22.4,23,17.4,0.232,0.386,0.328,42.2
2022,624133,SIFT,-0.9,-9,286,0.22,0.314,0.303,11.9,18.5,20.5,0.249,0.367,0.314,41.6
2022,668881,FF,0.4,5,283,0.261,0.514,0.372,28.3,29,22.9,0.248,0.477,0.361,48.5
2022,502171,FS,0.2,2,283,0.244,0.307,0.269,30.3,21.9,19.6,0.226,0.304,0.249,34.3
2022,450203,CUKC,-0.7,-8,283,0.171,0.323,0.261,41.8,43.1,29,0.164,0.26,0.235,34.1
2022,605200,SIFT,0.8,9,279,0.268,0.485,0.38,11.9,18.3,14.7,0.279,0.515,0.386,47.4
2022,663460,FF,1.8,20,277,0.348,0.587,0.441,20.1,20.2,18.9,0.296,0.498,0.391,48.6
2022,450203,FF,0.7,7,275,0.257,0.469,0.354,20.2,24,19.8,0.247,0.46,0.347,47.2
2022,605540,FF,-0.6,-6,275,0.184,0.381,0.287,28.5,35.6,23.6,0.192,0.374,0.291,46.9
2022,425794,CUKC,-1,-10,275,0.251,0.353,0.287,22.3,21.1,16.6,0.248,0.352,0.291,29
2022,592662,SL,-0.5,-6,274,0.184,0.349,0.247,39.4,37.2,23.2,0.208,0.33,0.252,41.9
2022,641482,FF,-2,-22,274,0.157,0.24,0.206,25.3,31,22,0.184,0.297,0.24,39
2022,657006,FF,0.3,4,274,0.312,0.407,0.389,20.3,16.4,17,0.274,0.361,0.339,33.5
2022,621076,FF,0.1,1,273,0.257,0.465,0.364,16.6,13.9,13,0.282,0.482,0.379,39.8
2022,656756,SIFT,-1.1,-10,273,0.248,0.36,0.306,17.1,15.8,22.6,0.284,0.401,0.33,39.2
2022,594835,FF,0.2,2,271,0.249,0.442,0.353,15.6,13.3,12.3,0.277,0.481,0.37,39.1
2022,641816,FF,-0.6,-7,269,0.205,0.368,0.295,28.1,32.3,22.1,0.181,0.32,0.273,47.7
2022,573186,SIFT,-1.6,-14,269,0.23,0.357,0.324,15.4,14.9,20,0.24,0.381,0.32,41.8
2022,657140,CUKC,-1.1,-10,268,0.211,0.307,0.263,33.5,33.2,27.3,0.22,0.323,0.262,40.5
2022,641778,FF,-0.8,-9,268,0.193,0.366,0.286,29.8,32.8,21.1,0.188,0.332,0.275,43.7
2022,656302,FF,-0.4,-5,268,0.24,0.391,0.336,23.2,21.3,16.3,0.218,0.366,0.322,35.5
2022,592351,FF,-0.3,-3,267,0.275,0.417,0.341,17.4,19.5,16.6,0.279,0.429,0.343,43.2
2022,669467,FF,-0.6,-6,266,0.293,0.384,0.336,12.2,11.3,13.4,0.263,0.351,0.307,43
2022,641154,CH,-0.4,-4,265,0.22,0.374,0.289,33.9,27.5,21.2,0.233,0.367,0.288,33.9
2022,645261,CH,-2.7,-25,265,0.145,0.194,0.177,34.4,29.4,26.8,0.17,0.23,0.2,29.1
2022,666201,FF,-1.8,-19,265,0.211,0.338,0.285,26.1,24.9,22.5,0.24,0.391,0.311,39.7
2022,669456,SL,-1.4,-12,263,0.191,0.287,0.233,40,31.2,27.2,0.196,0.297,0.235,34.3
2022,605288,SIFT,0.4,3,262,0.298,0.44,0.377,12.7,9.5,12.5,0.31,0.467,0.383,42.2
2022,500779,FF,-1.7,-17,262,0.215,0.317,0.26,22.9,23.3,16.2,0.24,0.347,0.281,32.4
2022,608331,FF,-1.3,-12,260,0.25,0.375,0.302,14.7,14.6,15,0.256,0.387,0.312,33.5
